sale_id,sale_date,sale_price_sar,discount_pct,payment_method,bank_name,buyer_city,unit_id,unit_no,unit_type,bedrooms,bathrooms,area_sqm,floor,view,parking_spaces,list_price_sar,project_id,project_name,city
498,2024-01-19,1797000.0,4.44,bank_financing,Banque Saudi Fransi,Riyadh,RWB0201,RWB-24201,duplex,5,5,325.0,24,city,2,1843000.0,RWB,Al Rawabi District,Dammam
497,2024-01-27,1395000.0,2.22,bank_financing,Al Rajhi Bank,Dammam,RWB0064,RWB-19064,duplex,4,4,265.0,19,street,2,1398000.0,RWB,Al Rawabi District,Dammam
2,2024-02-01,3446000.0,2.41,cash,,Jeddah,NRJ0082,NRJ-082,villa,6,6,475.0,,street,2,3531000.0,NRJ,Narjis Oasis,Riyadh
502,2024-02-01,1918000.0,4.08,bank_financing,Riyad Bank,Dammam,RWB0127,RWB-127,villa,5,5,350.0,,garden,2,1950000.0,RWB,Al Rawabi District,Dammam
20,2024-02-02,2117000.0,0.96,bank_financing,Al Rajhi Bank,Dammam,NRJ0227,NRJ-227,townhouse,4,3,290.0,,park,2,2138000.0,NRJ,Narjis Oasis,Riyadh
503,2024-02-02,2802000.0,0.44,bank_financing,Banque Saudi Fransi,Riyadh,RWB0089,RWB-089,villa,5,5,460.0,,park,2,2745000.0,RWB,Al Rawabi District,Dammam
504,2024-02-02,1493000.0,1.45,bank_financing,Bank AlBilad,Riyadh,RWB0047,RWB-05047,duplex,4,4,285.0,5,street,2,1478000.0,RWB,Al Rawabi District,Dammam
6,2024-02-07,1624000.0,2.72,bank_financing,Al Rajhi Bank,Jeddah,NRJ0297,NRJ-297,townhouse,3,2,260.0,,street,2,1669000.0,NRJ,Narjis Oasis,Riyadh
19,2024-02-07,2553000.0,1.55,bank_financing,Banque Saudi Fransi,Riyadh,NRJ0046,NRJ-046,villa,5,5,325.0,,garden,2,2593000.0,NRJ,Narjis Oasis,Riyadh
8,2024-02-08,1849000.0,1.99,bank_financing,Banque Saudi Fransi,Riyadh,NRJ0308,NRJ-308,townhouse,4,3,275.0,,city,2,1887000.0,NRJ,Narjis Oasis,Riyadh
16,2024-02-09,3511000.0,2.02,bank_financing,Riyad Bank,Dammam,NRJ0236,NRJ-236,villa,5,5,440.0,,park,2,3583000.0,NRJ,Narjis Oasis,Riyadh
5,2024-02-11,1617000.0,1.39,cash,,Riyadh,NRJ0312,NRJ-312,townhouse,3,2,235.0,,city,2,1640000.0,NRJ,Narjis Oasis,Riyadh
11,2024-02-11,2720000.0,0.68,bank_financing,Riyad Bank,Dammam,NRJ0273,NRJ-273,villa,4,4,355.0,,park,2,2739000.0,NRJ,Narjis Oasis,Riyadh
12,2024-02-12,3617000.0,4.34,cash,,Dammam,NRJ0201,NRJ-201,villa,6,6,500.0,,park,2,3781000.0,NRJ,Narjis Oasis,Riyadh
15,2024-02-12,1795000.0,4.22,bank_financing,Riyad Bank,Riyadh,NRJ0158,NRJ-158,townhouse,5,4,275.0,,city,2,1874000.0,NRJ,Narjis Oasis,Riyadh
7,2024-02-14,3090000.0,0.0,bank_financing,Bank AlBilad,Jeddah,NRJ0322,NRJ-322,villa,5,5,395.0,,city,2,3090000.0,NRJ,Narjis Oasis,Riyadh
14,2024-02-15,1907000.0,2.87,bank_financing,Riyad Bank,Riyadh,NRJ0327,NRJ-327,townhouse,5,4,280.0,,city,2,1963000.0,NRJ,Narjis Oasis,Riyadh
18,2024-02-15,4004000.0,1.42,bank_financing,Al Rajhi Bank,Riyadh,NRJ0257,NRJ-257,villa,6,6,485.0,,park,2,4062000.0,NRJ,Narjis Oasis,Riyadh
1,2024-02-16,1548000.0,3.52,bank_financing,Al Rajhi Bank,Riyadh,NRJ0293,NRJ-293,townhouse,3,2,245.0,,park,2,1605000.0,NRJ,Narjis Oasis,Riyadh
13,2024-02-16,2517000.0,2.09,bank_financing,Banque Saudi Fransi,Riyadh,NRJ0035,NRJ-035,villa,4,4,340.0,,street,2,2571000.0,NRJ,Narjis Oasis,Riyadh
10,2024-02-18,3328000.0,0.0,cash,,Riyadh,NRJ0211,NRJ-211,villa,6,6,425.0,,city,2,3328000.0,NRJ,Narjis Oasis,Riyadh
3,2024-02-20,2640000.0,1.51,bank_financing,Al Rajhi Bank,Riyadh,NRJ0106,NRJ-106,villa,4,4,365.0,,street,2,2680000.0,NRJ,Narjis Oasis,Riyadh
501,2024-02-20,1656000.0,0.31,cash,,Riyadh,RWB0099,RWB-12099,duplex,4,4,280.0,12,city,2,1620000.0,RWB,Al Rawabi District,Dammam
9,2024-02-21,1751000.0,3.4,bank_financing,Bank AlBilad,Riyadh,NRJ0268,NRJ-268,townhouse,3,2,270.0,,city,2,1813000.0,NRJ,Narjis Oasis,Riyadh
4,2024-02-26,3307000.0,1.34,bank_financing,Al Rajhi Bank,Riyadh,NRJ0058,NRJ-058,villa,5,5,440.0,,park,2,3352000.0,NRJ,Narjis Oasis,Riyadh
17,2024-02-27,1601000.0,0.0,cash,,Dammam,NRJ0125,NRJ-125,townhouse,3,2,225.0,,city,2,1601000.0,NRJ,Narjis Oasis,Riyadh
505,2024-03-01,2002000.0,4.0,bank_financing,Al Rajhi Bank,Dammam,RWB0236,RWB-236,villa,5,5,335.0,,garden,2,2024000.0,RWB,Al Rawabi District,Dammam
509,2024-03-02,1637000.0,2.93,cash,,Riyadh,RWB0060,RWB-10060,duplex,5,5,290.0,10,park,2,1637000.0,RWB,Al Rawabi District,Dammam
21,2024-03-03,2869000.0,0.0,bank_financing,Al Rajhi Bank,Jeddah,NRJ0063,NRJ-063,villa,5,5,365.0,,city,2,2855000.0,NRJ,Narjis Oasis,Riyadh
23,2024-03-04,3657000.0,1.69,cash,,Riyadh,NRJ0048,NRJ-048,villa,6,6,480.0,,city,2,3701000.0,NRJ,Narjis Oasis,Riyadh
25,2024-03-04,1975000.0,0.21,cash,,Dammam,NRJ0332,NRJ-332,townhouse,5,4,300.0,,city,2,1969000.0,NRJ,Narjis Oasis,Riyadh
29,2024-03-07,3054000.0,2.3,cash,,Riyadh,NRJ0151,NRJ-151,villa,6,6,445.0,,street,2,3110000.0,NRJ,Narjis Oasis,Riyadh
510,2024-03-10,1343000.0,2.09,bank_financing,Bank AlBilad,Dammam,RWB0180,RWB-01180,duplex,4,4,250.0,1,city,2,1331000.0,RWB,Al Rawabi District,Dammam
22,2024-03-12,1901000.0,4.12,cash,,Dammam,NRJ0112,NRJ-112,townhouse,4,3,270.0,,garden,2,1973000.0,NRJ,Narjis Oasis,Riyadh
26,2024-03-14,1512000.0,3.09,bank_financing,Banque Saudi Fransi,Riyadh,NRJ0299,NRJ-299,townhouse,3,2,220.0,,street,2,1553000.0,NRJ,Narjis Oasis,Riyadh
24,2024-03-15,3131000.0,2.35,bank_financing,Bank AlBilad,Riyadh,NRJ0087,NRJ-087,villa,5,5,455.0,,street,2,3191000.0,NRJ,Narjis Oasis,Riyadh
508,2024-03-19,1684000.0,3.93,bank_financing,Al Rajhi Bank,Jeddah,RWB0120,RWB-04120,duplex,4,4,325.0,4,city,2,1701000.0,RWB,Al Rawabi District,Dammam
27,2024-03-20,2845000.0,3.09,bank_financing,Saudi National Bank,Riyadh,NRJ0001,NRJ-001,villa,5,5,410.0,,city,2,2921000.0,NRJ,Narjis Oasis,Riyadh
28,2024-03-20,1607000.0,2.15,bank_financing,Riyad Bank,Riyadh,NRJ0080,NRJ-080,townhouse,3,2,230.0,,garden,2,1634000.0,NRJ,Narjis Oasis,Riyadh
507,2024-03-22,2158000.0,1.71,bank_financing,Bank AlBilad,Dammam,RWB0240,RWB-15240,duplex,5,5,350.0,15,garden,2,2131000.0,RWB,Al Rawabi District,Dammam
506,2024-03-26,2565000.0,0.45,bank_financing,Al Rajhi Bank,Riyadh,RWB0165,RWB-165,villa,5,5,455.0,,street,2,2501000.0,RWB,Al Rawabi District,Dammam
511,2024-03-26,2500000.0,2.22,bank_financing,Saudi National Bank,Dammam,RWB0076,RWB-076,villa,5,5,445.0,,park,2,2481000.0,RWB,Al Rawabi District,Dammam
34,2024-04-01,2905000.0,2.93,cash,,Riyadh,NRJ0199,NRJ-199,villa,5,5,415.0,,city,2,2963000.0,NRJ,Narjis Oasis,Riyadh
37,2024-04-02,1561000.0,0.0,bank_financing,Banque Saudi Fransi,Riyadh,NRJ0290,NRJ-290,townhouse,4,3,225.0,,city,2,1546000.0,NRJ,Narjis Oasis,Riyadh
513,2024-04-02,2425000.0,3.85,bank_financing,Saudi National Bank,Dammam,RWB0184,RWB-184,villa,5,5,455.0,,city,2,2436000.0,RWB,Al Rawabi District,Dammam
32,2024-04-13,1835000.0,2.68,bank_financing,Al Rajhi Bank,Jeddah,NRJ0240,NRJ-240,townhouse,5,4,265.0,,city,2,1867000.0,NRJ,Narjis Oasis,Riyadh
512,2024-04-13,1826000.0,1.15,bank_financing,Riyad Bank,Dammam,RWB0258,RWB-10258,duplex,4,4,325.0,10,city,2,1784000.0,RWB,Al Rawabi District,Dammam
33,2024-04-16,2038000.0,3.61,cash,,Riyadh,NRJ0313,NRJ-313,townhouse,5,4,315.0,,street,2,2093000.0,NRJ,Narjis Oasis,Riyadh
38,2024-04-16,1472000.0,1.52,cash,,Riyadh,NRJ0278,NRJ-278,townhouse,3,2,225.0,,street,2,1480000.0,NRJ,Narjis Oasis,Riyadh
514,2024-04-16,2021000.0,2.69,bank_financing,Banque Saudi Fransi,Riyadh,RWB0137,RWB-18137,duplex,4,4,345.0,18,park,2,2006000.0,RWB,Al Rawabi District,Dammam
516,2024-04-17,2765000.0,1.69,cash,,Dammam,RWB0214,RWB-214,villa,6,6,485.0,,park,2,2716000.0,RWB,Al Rawabi District,Dammam
31,2024-04-19,1796000.0,1.6,bank_financing,Saudi National Bank,Riyadh,NRJ0047,NRJ-047,townhouse,4,3,270.0,,city,2,1807000.0,NRJ,Narjis Oasis,Riyadh
39,2024-04-19,1547000.0,0.0,bank_financing,Banque Saudi Fransi,Jeddah,NRJ0254,NRJ-254,townhouse,3,2,230.0,,city,2,1532000.0,NRJ,Narjis Oasis,Riyadh
515,2024-04-19,2223000.0,3.03,bank_financing,Riyad Bank,Dammam,RWB0077,RWB-077,villa,5,5,390.0,,park,2,2214000.0,RWB,Al Rawabi District,Dammam
30,2024-04-20,2851000.0,3.54,bank_financing,Banque Saudi Fransi,Riyadh,NRJ0070,NRJ-070,villa,5,5,385.0,,city,2,2926000.0,NRJ,Narjis Oasis,Riyadh
35,2024-04-24,3540000.0,1.3,cash,,Riyadh,NRJ0324,NRJ-324,villa,6,6,465.0,,park,2,3551000.0,NRJ,Narjis Oasis,Riyadh
36,2024-04-27,2439000.0,2.76,bank_financing,Al Rajhi Bank,Dammam,NRJ0131,NRJ-131,villa,4,4,320.0,,city,2,2483000.0,NRJ,Narjis Oasis,Riyadh
41,2024-05-01,1582000.0,3.1,bank_financing,Saudi National Bank,Jeddah,NRJ0219,NRJ-219,townhouse,3,2,240.0,,street,2,1608000.0,NRJ,Narjis Oasis,Riyadh
49,2024-05-01,1863000.0,0.2,bank_financing,Riyad Bank,Riyadh,NRJ0325,NRJ-325,townhouse,4,3,270.0,,city,2,1839000.0,NRJ,Narjis Oasis,Riyadh
227,2024-05-02,3305000.0,1.27,bank_financing,Riyad Bank,Jeddah,CST0248,CST-18248,duplex,4,4,275.0,18,garden,2,3347000.0,CST,Coast Towers,Jeddah
45,2024-05-03,1901000.0,0.0,bank_financing,Banque Saudi Fransi,Riyadh,NRJ0078,NRJ-078,townhouse,4,3,275.0,,street,2,1873000.0,NRJ,Narjis Oasis,Riyadh
46,2024-05-03,2265000.0,0.87,bank_financing,Saudi National Bank,Riyadh,NRJ0320,NRJ-320,townhouse,5,4,300.0,,park,2,2251000.0,NRJ,Narjis Oasis,Riyadh
50,2024-05-04,1993000.0,2.25,bank_financing,Saudi National Bank,Riyadh,NRJ0282,NRJ-282,townhouse,4,3,305.0,,street,2,2009000.0,NRJ,Narjis Oasis,Riyadh
230,2024-05-04,3081000.0,1.33,bank_financing,Bank AlBilad,Dammam,CST0356,CST-19356,duplex,4,4,245.0,19,street,2,3123000.0,CST,Coast Towers,Jeddah
216,2024-05-05,3360000.0,3.68,cash,,Dammam,CST0361,CST-14361,duplex,4,4,295.0,14,street,2,3488000.0,CST,Coast Towers,Jeddah
217,2024-05-05,3485000.0,4.24,bank_financing,Bank AlBilad,Jeddah,CST0266,CST-03266,duplex,5,5,305.0,3,park,2,3639000.0,CST,Coast Towers,Jeddah
44,2024-05-07,1824000.0,0.8,cash,,Riyadh,NRJ0266,NRJ-266,townhouse,3,2,280.0,,street,2,1811000.0,NRJ,Narjis Oasis,Riyadh
219,2024-05-08,3893000.0,1.0,bank_financing,Bank AlBilad,Riyadh,CST0291,CST-16291,duplex,4,4,305.0,16,park,2,3932000.0,CST,Coast Towers,Jeddah
517,2024-05-08,2470000.0,0.0,bank_financing,Al Rajhi Bank,Dammam,RWB0224,RWB-224,villa,5,5,445.0,,street,2,2373000.0,RWB,Al Rawabi District,Dammam
221,2024-05-09,1551000.0,1.6,cash,,Riyadh,CST0201,CST-07201,apartment,3,2,145.0,7,city,1,1576000.0,CST,Coast Towers,Jeddah
48,2024-05-10,1798000.0,1.02,bank_financing,Saudi National Bank,Dammam,NRJ0287,NRJ-287,townhouse,4,3,275.0,,street,2,1790000.0,NRJ,Narjis Oasis,Riyadh
47,2024-05-12,1978000.0,2.08,bank_financing,Riyad Bank,Riyadh,NRJ0323,NRJ-323,townhouse,4,3,285.0,,street,2,1990000.0,NRJ,Narjis Oasis,Riyadh
229,2024-05-12,4327000.0,1.73,bank_financing,Riyad Bank,Jeddah,CST0272,CST-17272,duplex,5,5,360.0,17,street,2,4403000.0,CST,Coast Towers,Jeddah
42,2024-05-13,2471000.0,0.71,cash,,Riyadh,NRJ0086,NRJ-086,villa,5,5,345.0,,city,2,2452000.0,NRJ,Narjis Oasis,Riyadh
40,2024-05-14,2008000.0,0.21,cash,,Jeddah,NRJ0133,NRJ-133,townhouse,4,3,290.0,,park,2,1982000.0,NRJ,Narjis Oasis,Riyadh
218,2024-05-14,2135000.0,4.6,cash,,Riyadh,CST0100,CST-05100,apartment,3,2,195.0,5,park,2,2238000.0,CST,Coast Towers,Jeddah
220,2024-05-14,3606000.0,0.57,bank_financing,Al Rajhi Bank,Dammam,CST0389,CST-05389,duplex,4,4,275.0,5,sea,2,3627000.0,CST,Coast Towers,Jeddah
223,2024-05-14,1443000.0,3.27,bank_financing,Saudi National Bank,Jeddah,CST0333,CST-23333,apartment,2,1,130.0,23,city,1,1492000.0,CST,Coast Towers,Jeddah
225,2024-05-14,3347000.0,2.12,bank_financing,Bank AlBilad,Jeddah,CST0158,CST-12158,duplex,5,5,275.0,12,city,2,3419000.0,CST,Coast Towers,Jeddah
234,2024-05-16,1924000.0,1.26,bank_financing,Riyad Bank,Jeddah,CST0223,CST-05223,apartment,4,3,180.0,5,park,2,1949000.0,CST,Coast Towers,Jeddah
235,2024-05-17,4160000.0,1.9,cash,,Jeddah,CST0346,CST-23346,duplex,5,5,340.0,23,park,2,4241000.0,CST,Coast Towers,Jeddah
520,2024-05-17,2695000.0,0.0,bank_financing,Al Rajhi Bank,Dammam,RWB0016,RWB-016,villa,5,5,420.0,,city,2,2590000.0,RWB,Al Rawabi District,Dammam
231,2024-05-18,4288000.0,2.84,cash,,Riyadh,CST0026,CST-11026,duplex,5,5,360.0,11,city,2,4413000.0,CST,Coast Towers,Jeddah
226,2024-05-23,1616000.0,1.0,bank_financing,Al Rajhi Bank,Jeddah,CST0311,CST-18311,apartment,3,2,145.0,18,garden,1,1632000.0,CST,Coast Towers,Jeddah
232,2024-05-23,4133000.0,2.29,bank_financing,Saudi National Bank,Jeddah,CST0091,CST-05091,duplex,4,4,330.0,5,sea,2,4230000.0,CST,Coast Towers,Jeddah
233,2024-05-23,3271000.0,0.0,bank_financing,Bank AlBilad,Jeddah,CST0398,CST-24398,duplex,5,5,270.0,24,street,2,3271000.0,CST,Coast Towers,Jeddah
519,2024-05-25,2612000.0,3.64,bank_financing,Al Rajhi Bank,Dammam,RWB0200,RWB-200,villa,5,5,445.0,,park,2,2605000.0,RWB,Al Rawabi District,Dammam
43,2024-05-26,1581000.0,1.95,cash,,Jeddah,NRJ0192,NRJ-192,townhouse,4,3,220.0,,street,2,1588000.0,NRJ,Narjis Oasis,Riyadh
224,2024-05-26,1795000.0,0.0,bank_financing,Riyad Bank,Jeddah,CST0175,CST-10175,apartment,3,2,185.0,10,street,2,1795000.0,CST,Coast Towers,Jeddah
222,2024-05-27,1819000.0,4.08,bank_financing,Banque Saudi Fransi,Jeddah,CST0164,CST-13164,apartment,3,2,170.0,13,garden,2,1896000.0,CST,Coast Towers,Jeddah
228,2024-05-27,1483000.0,0.34,bank_financing,Riyad Bank,Jeddah,CST0059,CST-08059,apartment,3,2,135.0,8,garden,1,1488000.0,CST,Coast Towers,Jeddah
518,2024-05-27,1936000.0,0.81,bank_financing,Bank AlBilad,Dammam,RWB0116,RWB-12116,duplex,5,5,350.0,12,park,2,1875000.0,RWB,Al Rawabi District,Dammam
521,2024-05-27,2787000.0,1.84,bank_financing,Banque Saudi Fransi,Dammam,RWB0173,RWB-173,villa,5,5,490.0,,city,2,2728000.0,RWB,Al Rawabi District,Dammam
236,2024-06-01,1246000.0,3.62,cash,,Dammam,CST0414,CST-24414,apartment,2,1,115.0,24,street,1,1286000.0,CST,Coast Towers,Jeddah
237,2024-06-02,3655000.0,2.07,bank_financing,Riyad Bank,Jeddah,CST0177,CST-11177,duplex,4,4,290.0,11,park,2,3714000.0,CST,Coast Towers,Jeddah
239,2024-06-02,3926000.0,0.0,bank_financing,Banque Saudi Fransi,Dammam,CST0065,CST-08065,duplex,5,5,320.0,8,street,2,3906000.0,CST,Coast Towers,Jeddah
246,2024-06-02,3111000.0,0.0,bank_financing,Banque Saudi Fransi,Riyadh,CST0331,CST-01331,duplex,4,4,260.0,1,garden,2,3096000.0,CST,Coast Towers,Jeddah
238,2024-06-03,3234000.0,0.96,bank_financing,Riyad Bank,Riyadh,CST0214,CST-09214,duplex,5,5,270.0,9,garden,2,3249000.0,CST,Coast Towers,Jeddah
57,2024-06-06,2114000.0,1.57,bank_financing,Riyad Bank,Jeddah,NRJ0041,NRJ-041,townhouse,5,4,310.0,,street,2,2105000.0,NRJ,Narjis Oasis,Riyadh
241,2024-06-06,2235000.0,0.0,cash,,Riyadh,CST0357,CST-13357,apartment,4,3,190.0,13,garden,2,2224000.0,CST,Coast Towers,Jeddah
247,2024-06-06,2219000.0,3.88,bank_financing,Riyad Bank,Jeddah,CST0370,CST-15370,apartment,3,2,190.0,15,sea,2,2297000.0,CST,Coast Towers,Jeddah
526,2024-06-06,2718000.0,2.36,bank_financing,Banque Saudi Fransi,Riyadh,RWB0114,RWB-114,villa,4,4,410.0,,park,2,2662000.0,RWB,Al Rawabi District,Dammam
51,2024-06-08,4396000.0,0.9,bank_financing,Al Rajhi Bank,Riyadh,NRJ0119,NRJ-119,villa,6,6,520.0,,park,2,4348000.0,NRJ,Narjis Oasis,Riyadh
52,2024-06-08,1810000.0,1.87,bank_financing,Banque Saudi Fransi,Riyadh,NRJ0150,NRJ-150,townhouse,3,2,255.0,,garden,2,1808000.0,NRJ,Narjis Oasis,Riyadh
56,2024-06-11,2665000.0,1.16,bank_financing,Bank AlBilad,Riyadh,NRJ0064,NRJ-064,villa,4,4,330.0,,park,2,2643000.0,NRJ,Narjis Oasis,Riyadh
525,2024-06-11,1849000.0,1.59,cash,,Jeddah,RWB0197,RWB-197,villa,5,5,325.0,,city,2,1796000.0,RWB,Al Rawabi District,Dammam
55,2024-06-12,2205000.0,4.36,bank_financing,Al Rajhi Bank,Riyadh,NRJ0191,NRJ-191,townhouse,4,3,300.0,,garden,2,2260000.0,NRJ,Narjis Oasis,Riyadh
